transaction_id,transaction_date,transaction_month,transaction_year,month_name,account_id,customer_id,transaction_type,category,merchant,amount,amount_abs,income_amount,expense_amount,net_amount,payment_method,location,is_recurring,is_unusual,balance_after_transaction,category_budget,category_month_expense,budget_variance,budget_variance_pct,budget_status
TXN0000001,2025-01-01,2025-01-01,2025,January,ACC00010,CUST0008,Expense,Rent,CityRent,-1322.26,1322.26,0.0,1322.26,-1322.26,Direct Debit,Glasgow,True,False,2320.31,112000.0,112523.47,-523.47,-0.0047,Near Budget
TXN0000002,2025-01-01,2025-01-01,2025,January,ACC00018,CUST0014,Expense,Rent,CityRent,-1184.64,1184.64,0.0,1184.64,-1184.64,Direct Debit,Leeds,True,False,1398.71,112000.0,112523.47,-523.47,-0.0047,Near Budget
TXN0000003,2025-01-01,2025-01-01,2025,January,ACC00019,CUST0015,Expense,Healthcare,HealthFirst,-93.04,93.04,0.0,93.04,-93.04,Debit Card,Manchester,False,False,7518.19,6000.0,8217.26,-2217.26,-0.3695,Over Budget
TXN0000004,2025-01-01,2025-01-01,2025,January,ACC00020,CUST0016,Expense,Groceries,FreshMart,-42.18,42.18,0.0,42.18,-42.18,Credit Card,Cardiff,False,False,3250.46,2100.0,2476.99,-376.99,-0.1795,Over Budget
TXN0000005,2025-01-01,2025-01-01,2025,January,ACC00025,CUST0020,Expense,Rent,CityRent,-1930.57,1930.57,0.0,1930.57,-1930.57,Direct Debit,Manchester,True,False,4622.3,112000.0,112523.47,-523.47,-0.0047,Near Budget
TXN0000006,2025-01-01,2025-01-01,2025,January,ACC00027,CUST0022,Expense,Rent,CityRent,-921.58,921.58,0.0,921.58,-921.58,Direct Debit,Liverpool,True,False,729.02,112000.0,112523.47,-523.47,-0.0047,Near Budget
TXN0000007,2025-01-01,2025-01-01,2025,January,ACC00028,CUST0022,Expense,Rent,CityRent,-1048.22,1048.22,0.0,1048.22,-1048.22,Direct Debit,Liverpool,True,False,5199.52,112000.0,112523.47,-523.47,-0.0047,Near Budget
TXN0000008,2025-01-01,2025-01-01,2025,January,ACC00033,CUST0027,Expense,Rent,CityRent,-1285.89,1285.89,0.0,1285.89,-1285.89,Direct Debit,Birmingham,True,False,1355.81,112000.0,112523.47,-523.47,-0.0047,Near Budget
TXN0000009,2025-01-01,2025-01-01,2025,January,ACC00044,CUST0036,Expense,Healthcare,HealthFirst,-257.43,257.43,0.0,257.43,-257.43,Debit Card,Bristol,False,False,1170.06,6000.0,8217.26,-2217.26,-0.3695,Over Budget
TXN0000010,2025-01-01,2025-01-01,2025,January,ACC00053,CUST0044,Expense,Rent,CityRent,-1200.86,1200.86,0.0,1200.86,-1200.86,Direct Debit,Cardiff,True,False,3085.51,112000.0,112523.47,-523.47,-0.0047,Near Budget
TXN0000011,2025-01-01,2025-01-01,2025,January,ACC00061,CUST0050,Expense,Rent,CityRent,-1762.1,1762.1,0.0,1762.1,-1762.1,Direct Debit,Edinburgh,True,False,-872.83,112000.0,112523.47,-523.47,-0.0047,Near Budget
TXN0000012,2025-01-01,2025-01-01,2025,January,ACC00062,CUST0051,Expense,Rent,CityRent,-1960.45,1960.45,0.0,1960.45,-1960.45,Direct Debit,Manchester,True,False,5236.25,112000.0,112523.47,-523.47,-0.0047,Near Budget
TXN0000013,2025-01-01,2025-01-01,2025,January,ACC00064,CUST0052,Expense,Rent,CityRent,-1371.74,1371.74,0.0,1371.74,-1371.74,Direct Debit,Edinburgh,True,False,3401.13,112000.0,112523.47,-523.47,-0.0047,Near Budget
TXN0000014,2025-01-01,2025-01-01,2025,January,ACC00066,CUST0054,Expense,Rent,CityRent,-1097.31,1097.31,0.0,1097.31,-1097.31,Direct Debit,Edinburgh,True,False,2354.71,112000.0,112523.47,-523.47,-0.0047,Near Budget
TXN0000015,2025-01-01,2025-01-01,2025,January,ACC00069,CUST0057,Expense,Shopping,TechCorner,-161.39,161.39,0.0,161.39,-161.39,Credit Card,Bristol,False,False,1439.79,7000.0,5131.63,1868.37,0.2669,Within Budget
TXN0000016,2025-01-01,2025-01-01,2025,January,ACC00071,CUST0059,Expense,Rent,CityRent,-1285.15,1285.15,0.0,1285.15,-1285.15,Direct Debit,Birmingham,True,False,5794.62,112000.0,112523.47,-523.47,-0.0047,Near Budget
TXN0000017,2025-01-01,2025-01-01,2025,January,ACC00072,CUST0060,Expense,Rent,CityRent,-1835.3,1835.3,0.0,1835.3,-1835.3,Direct Debit,Cardiff,True,False,6467.6,112000.0,112523.47,-523.47,-0.0047,Near Budget
TXN0000018,2025-01-01,2025-01-01,2025,January,ACC00073,CUST0060,Expense,Rent,CityRent,-1145.82,1145.82,0.0,1145.82,-1145.82,Direct Debit,Cardiff,True,False,1464.96,112000.0,112523.47,-523.47,-0.0047,Near Budget
