transaction_id,transaction_date,account_id,customer_id,transaction_type,category,merchant,amount,payment_method,location,is_recurring,is_unusual,balance_after_transaction
TXN0000001,2025-01-01,ACC00010,CUST0008,Expense,Rent,CityRent,-1322.26,Direct Debit,Glasgow,True,False,2320.31
TXN0000002,2025-01-01,ACC00018,CUST0014,Expense,Rent,CityRent,-1184.64,Direct Debit,Leeds,True,False,1398.71
TXN0000003,2025-01-01,ACC00019,CUST0015,Expense,Healthcare,HealthFirst,-93.04,Debit Card,Manchester,False,False,7518.19
TXN0000004,2025-01-01,ACC00020,CUST0016,Expense,Groceries,FreshMart,-42.18,Credit Card,Cardiff,False,False,3250.46
TXN0000005,2025-01-01,ACC00025,CUST0020,Expense,Rent,CityRent,-1930.57,Direct Debit,Manchester,True,False,4622.3
TXN0000006,2025-01-01,ACC00027,CUST0022,Expense,Rent,CityRent,-921.58,Direct Debit,Liverpool,True,False,729.02
TXN0000007,2025-01-01,ACC00028,CUST0022,Expense,Rent,CityRent,-1048.22,Direct Debit,Liverpool,True,False,5199.52
TXN0000008,2025-01-01,ACC00033,CUST0027,Expense,Rent,CityRent,-1285.89,Direct Debit,Birmingham,True,False,1355.81
TXN0000009,2025-01-01,ACC00044,CUST0036,Expense,Healthcare,HealthFirst,-257.43,Debit Card,Bristol,False,False,1170.06
TXN0000010,2025-01-01,ACC00053,CUST0044,Expense,Rent,CityRent,-1200.86,Direct Debit,Cardiff,True,False,3085.51
TXN0000011,2025-01-01,ACC00061,CUST0050,Expense,Rent,CityRent,-1762.1,Direct Debit,Edinburgh,True,False,-872.83
TXN0000012,2025-01-01,ACC00062,CUST0051,Expense,Rent,CityRent,-1960.45,Direct Debit,Manchester,True,False,5236.25
TXN0000013,2025-01-01,ACC00064,CUST0052,Expense,Rent,CityRent,-1371.74,Direct Debit,Edinburgh,True,False,3401.13
TXN0000014,2025-01-01,ACC00066,CUST0054,Expense,Rent,CityRent,-1097.31,Direct Debit,Edinburgh,True,False,2354.71
TXN0000015,2025-01-01,ACC00069,CUST0057,Expense,Shopping,TechCorner,-161.39,Credit Card,Bristol,False,False,1439.79
TXN0000016,2025-01-01,ACC00071,CUST0059,Expense,Rent,CityRent,-1285.15,Direct Debit,Birmingham,True,False,5794.62
TXN0000017,2025-01-01,ACC00072,CUST0060,Expense,Rent,CityRent,-1835.3,Direct Debit,Cardiff,True,False,6467.6
TXN0000018,2025-01-01,ACC00073,CUST0060,Expense,Rent,CityRent,-1145.82,Direct Debit,Cardiff,True,False,1464.96
TXN0000019,2025-01-01,ACC00073,CUST0060,Expense,Shopping,StyleMarket,-128.96,Credit Card,Online,False,False,1336.0
TXN0000020,2025-01-01,ACC00082,CUST0068,Expense,Groceries,DailyBasket,-92.22,Credit Card,Bristol,False,False,3229.99
TXN0000021,2025-01-01,ACC00094,CUST0077,Expense,Rent,CityRent,-836.27,Direct Debit,London,True,False,4066.27
TXN0000022,2025-01-01,ACC00108,CUST0088,Refund,Refunds,Travel Refund,192.14,Debit Card,Glasgow,False,False,1798.04
TXN0000023,2025-01-01,ACC00111,CUST0090,Expense,Rent,CityRent,-1739.31,Direct Debit,Liverpool,True,False,6162.92
TXN0000024,2025-01-01,ACC00127,CUST0102,Expense,Rent,CityRent,-1330.76,Direct Debit,Leeds,True,False,6433.63
TXN0000025,2025-01-01,ACC00138,CUST0110,Expense,Rent,CityRent,-1298.08,Direct Debit,Liverpool,True,False,3851.28
TXN0000026,2025-01-01,ACC00146,CUST0117,Expense,Rent,CityRent,-1181.59,Direct Debit,Liverpool,True,False,3509.97
TXN0000027,2025-01-01,ACC00148,CUST0119,Expense,Rent,CityRent,-1941.56,Direct Debit,Edinburgh,True,False,5434.89
TXN0000028,2025-01-02,ACC00004,CUST0004,Expense,Rent,CityRent,-908.44,Direct Debit,Edinburgh,True,False,3529.76
TXN0000029,2025-01-02,ACC00005,CUST0004,Expense,Rent,CityRent,-860.84,Direct Debit,Edinburgh,True,False,2916.78
TXN0000030,2025-01-02,ACC00014,CUST0011,Expense,Rent,CityRent,-1972.88,Direct Debit,Glasgow,True,False,4908.65
TXN0000031,2025-01-02,ACC00020,CUST0016,Expense,Rent,CityRent,-1503.74,Direct Debit,Bristol,True,False,1746.72
